response_id,date,year,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
50,11/03/2019,2019,15-18,Female,78,50,25,0,25,65,65,60,35,5,50,50,49,54,47,10,69,68,13,35,35,70,100,75,50,10,50,1,1,0,0,1,,,,,,,,,
51,11/03/2019,2019,45-54,Female,0,100,100,0,50,41,48,100,51,100,100,100,100,50,75,40,50,50,10,40,50,50,50,50,49,40,64,1,1,0,1,1,,,,,,,,,
52,11/03/2019,2019,45-54,Male,100,100,50,0,0,14,15,100,50,50,100,100,100,100,50,15,100,100,50,50,50,50,50,100,50,35,50,1,1,0,,,,,,,,,,,
53,11/03/2019,2019,55-64,Male,4,100,95,10,70,25,25,15,75,20,76,94,44,100,100,45,95,80,40,100,100,100,100,100,,60,100,1,1,0,1,1,,,,,,,,,
54,11/03/2019,2019,45-54,Female,100,100,50,40,100,40,20,60,100,1,80,80,100,75,0,22,30,100,25,100,100,90,100,100,100,20,100,1,0,0,1,1,,,,,,,,,
55,11/03/2019,2019,35-44,Female,100,92,50,0,94,32,27,80,44,50,50,100,96,96,5,50,33,97,5,50,50,50,50,50,83,50,50,1,0,0,0,,,,,,,,,,
56,11/03/2019,2019,55-64,Female,25,90,95,8,30,20,20,17,16,40,75,75,40,58,5,20,50,50,51,100,100,100,90,95,69,40,75,1,1,0,0,,,,,,,,,,
57,11/03/2019,2019,45-54,Female,100,100,25,20,100,75,65,50,65,0,90,85,100,75,15,40,80,80,20,92,85,80,90,90,91,12,90,1,0,0,1,1,,,,,,,,,
58,11/03/2019,2019,25-34,Female,100,50,50,0,50,50,50,100,100,0,100,100,100,100,100,0,50,50,0,50,50,50,50,50,75,40,50,1,0,0,1,0,,,,,,,,,
59,11/03/2019,2019,35-44,Female,100,50,1,0,0,1,0,100,99,50,75,75,100,50,50,40,50,75,31,50,50,50,100,86,50,29,75,0,0,0,0,1,,,,,,,,,
60,11/03/2019,2019,35-44,Female,100,100,90,50,50,65,65,96,50,45,75,97,95,86,96,30,75,31,24,92,92,83,95,89,81,8,96,1,1,0,0,,,,,,,,,,
61,11/02/2019,2019,35-44,Male,15,95,45,10,25,50,75,40,100,10,100,100,50,100,50,40,75,80,60,90,90,90,87,90,100,10,75,1,0,0,0,1,,,,,,,,,
62,11/02/2019,2019,45-54,Male,88,94,75,0,49,57,60,56,100,50,75,75,75,75,50,45,50,51,16,75,75,70,70,80,80,15,90,1,1,0,0,,,,,,,,,,
63,11/02/2019,2019,35-44,Female,100,100,,0,100,100,100,100,50,45,50,100,100,100,100,45,100,100,50,100,100,50,50,100,100,25,75,1,0,0,1,1,,,,,,,,,
64,11/02/2019,2019,35-44,Female,100,100,0,0,100,100,100,50,100,0,50,0,50,50,100,0,50,50,50,0,50,49,50,50,0,0,50,1,0,0,0,,,,,,,,,,
65,11/02/2019,2019,35-44,Female,5,40,0,2,2,45,45,100,50,0,95,100,50,60,0,40,75,50,10,50,50,100,100,60,100,39,95,1,0,0,1,0,,,,,,,,,
66,11/02/2019,2019,35-44,Female,100,100,100,0,100,0,20,20,20,60,90,100,100,100,60,25,40,25,25,60,90,80,84,88,59,40,97,1,1,1,1,0,,,,,,,,,
67,11/02/2019,2019,45-54,Female,100,75,50,40,100,75,50,80,25,50,50,46,36,65,50,50,45,15,3,42,50,60,75,55,56,0,90,1,1,0,0,,,,,,,,,,
68,11/02/2019,2019,35-44,Female,100,100,50,10,0,70,70,95,90,0,100,90,100,100,50,40,100,75,30,80,80,90,90,80,80,25,93,1,0,0,1,1,,,,,,,,,
69,11/02/2019,2019,35-44,Female,100,100,80,60,95,98,50,90,51,0,100,100,50,100,90,35,100,75,30,100,50,100,100,100,50,10,100,1,1,0,0,1,,,,,,,,,
70,11/02/2019,2019,35-44,Male,100,95,50,10,50,24,40,70,80,10,100,100,100,100,50,40,95,95,25,100,100,100,100,100,100,20,95,1,1,0,,,,,,,,,,,
71,11/02/2019,2019,55-64,Male,100,100,50,0,60,25,15,75,65,0,75,95,25,60,50,45,95,75,50,70,70,80,80,80,80,50,85,1,0,1,1,1,,,,,,,,,
72,11/02/2019,2019,35-44,Male,90,90,90,0,80,100,100,100,100,30,100,100,80,90,100,50,100,100,50,100,100,100,100,90,70,25,80,1,0,1,1,0,,,,,,,,,
73,11/02/2019,2019,45-54,Male,95,90,0,0,1,85,85,90,90,50,95,90,95,90,0,50,50,50,10,90,90,80,85,85,95,5,95,1,1,0,1,1,,,,,,,,,
74,11/02/2019,2019,45-54,Male,100,100,50,0,50,100,,100,100,0,100,100,50,50,100,50,50,0,50,100,100,50,50,100,100,50,50,1,0,0,1,0,,,,,,,,,
75,11/02/2019,2019,35-44,Female,100,100,0,0,50,40,0,100,50,0,100,100,100,100,100,20,50,50,25,50,49,50,51,100,50,10,50,1,1,0,1,1,,,,,,,,,
76,11/02/2019,2019,25-34,Female,75,80,50,10,50,75,75,100,85,25,75,90,85,80,75,32,80,80,60,90,90,85,80,70,80,15,90,1,0,0,1,0,,,,,,,,,
77,11/02/2019,2019,35-44,Female,95,90,0,10,50,60,55,80,50,1,95,95,85,85,35,35,50,49,10,70,59,50,75,,75,25,75,1,1,0,1,1,,,,,,,,,
78,11/02/2019,2019,35-44,Female,100,5,50,5,45,80,75,90,90,5,90,50,25,90,75,10,50,50,15,85,85,85,60,60,70,15,60,1,1,1,1,1,,,,,,,,,
79,11/02/2019,2019,45-54,Male,100,100,100,0,49,49,40,80,100,0,100,100,100,100,50,30,50,100,50,100,100,100,100,100,100,5,50,1,0,,1,1,,,,,,,,,
