Respondent ID,Collector ID,Start Date,Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,10. Trust local council,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,27. Family Wellbeing,28. Access to Natural Environment,29. Work Travel Time,30. Basic Life Skills,31. Newlands Resident,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready,36. Vote General election 2020,37. Vote Local elections 2019,38. Satisfaction income,39. Confident in finding a new job,40. Personal mental health,41. Confident water safety,42. Optimal use of land,43. Location,44. Voted General elections 2023,45. Voted Local Elections 2022
,,,11/11/2022 16:13,6037,25-34,Male,95,90,100,5,68,5,10,75,100,1,95,50,95,80,75,40,85,80,8,50,50,75,95,95,96,30,80,Yes,Yes,No,Yes,Yes,Yes,Yes,85,50,79,80,80,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/11/2022 15:43,6037,35-44,Male,100,90,50,0,59,89,38,41,77,50,50,75,59,61,93,45,80,54,2,67,65,75,50,57,51,13,88,Yes,Yes,No,Yes,Yes,Yes,Yes,71,100,46,52,21,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/09/2022 7:14,6037,35-44,Female,22,98,47,15,71,10,16,71,81,47,100,53,72,51,51,,48,25,27,68,89,52,53,70,51,70,52,Yes,Yes,No,No,,Yes,Yes,23,23,38,11,10,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/08/2022 13:29,6037,65-74,Male,100,100,5,2,50,75,50,88,75,0,21,71,20,52,17,0,0,50,90,100,100,51,50,57,85,0,70,Yes,No,No,No,No,Yes,Yes,0,0,64,75,25,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/07/2022 12:24,6037,35-44,Male,100,69,50,32,73,35,39,69,69,0,44,100,100,59,0,40,73,48,51,100,100,80,51,49,55,51,71,Yes,No,No,Yes,Yes,Yes,Yes,100,73,69,74,42,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/07/2022 11:51,,35-44,Female,100,75,100,20,100,75,75,95,51,,25,50,75,50,100,37,75,50,5,50,50,80,100,75,100,14,81,Yes,No,No,No,No,Yes,Yes,50,75,75,20,20,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/07/2022 8:21,6037,35-44,Male,100,85,40,30,80,90,50,100,85,0,40,80,50,75,25,50,90,40,11,90,90,65,60,79,80,20,95,Yes,Yes,No,Yes,No,Yes,Yes,90,89,35,50,60,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/07/2022 7:58,6037,45-54,Female,100,100,1,0,0,61,40,81,60,0,12,100,100,100,39,40,27,89,89,83,84,38,72,65,93,24,94,Yes,No,No,No,No,Yes,Yes,98,3,29,56,98,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/07/2022 7:36,6037,55-64,Female,100,72,0,18,2,78,41,89,71,20,95,100,94,87,11,40,86,82,76,99,84,88,61,87,64,33,82,Yes,Yes,No,Yes,Yes,Yes,Yes,71,51,85,73,50,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/05/2022 11:52,6037,65-74,Female,15,98,8,10,46,82,10,90,80,7,26,71,80,50,14,,,,25,89,92,50,49,79,80,,91,Yes,Yes,No,No,,Yes,Yes,,,50,70,52,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/05/2022 8:42,6037,65-74,Female,93,86,54,34,70,70,81,76,85,17,89,86,92,82,62,35,77,67,56,88,90,87,97,87,92,5,83,Yes,Yes,No,No,Yes,Yes,Yes,76,70,94,87,40,"Newlands, Paparangi, Bellevue or Woodridge",,
,,,11/04/2022 22:31,6037,35-44,Female,100,50,22,18,31,40,18,82,89,0,33,100,52,70,11,21,40,69,13,67,82,71,50,75,69,26,90,No,No,No,No,,Yes,Yes,40,30,67,6,47,Johnsonville,,
,,,11/04/2022 21:20,6035,35-44,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
