Respondent ID,Collector ID,Start Date,Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,10. Trust local council,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,27. Family Wellbeing,28. Access to Natural Environment,29. Work Travel Time,30. Basic Life Skills,31. Newlands Resident,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready,36. Vote General election 2020,37. Vote Local elections 2019,38. Satisfaction income,39. Confident in finding a new job,40. Personal mental health,41. Confident water safety,42. Optimal use of land,43. Location,44. Voted General elections 2023,45. Voted Local Elections 2022
,,,06/18/2020 09:15:05 PM,6037,45-54,Female,100,67,0,0,51,60,58,65,52,0,48,100,30,56,100,40,100,13,14,100,100,71,65,71,49,11,100,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/18/2020 06:12:35 PM,6037,55-64,Male,100,100,51,1,75,66,55,53,52,35,91,90,71,80,63,40,58,72,40,73,77,77,54,74,100,28,75,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,06/18/2020 02:10:52 PM,6037,45-54,Female,100,100,16,6,35,32,11,82,51,29,80,82,88,65,80,61,77,37,15,87,100,78,81,90,92,30,89,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,,06/18/2020 02:06:32 PM,6037,55-64,Female,0,99,0,0,99,13,0,41,49,99,51,94,57,95,99,51,99,89,51,99,99,93,97,91,94,21,98,No,,Yes,,,,,,,,,,,,
,,,06/18/2020 01:46:01 PM,6037,75-84,Female,100,93,1,1,59,55,55,56,89,65,80,94,86,86,72,0,,77,91,75,87,82,78,85,93,,92,Yes,No,,,,,,,,,,,,,
,,,06/18/2020 11:41:51 AM,6037,65-74,Female,100,100,73,0,87,70,52,87,20,0,100,100,90,100,100,0,,,99,100,100,95,100,100,100,,92,Yes,Yes,Yes,No,,,,,,,,,,,
,,,06/18/2020 11:12:45 AM,6037,65-74,Female,90,80,51,20,27,76,41,72,48,9,95,89,82,91,57,0,,,49,81,88,85,87,68,91,6,81,Yes,Yes,No,No,,,,,,,,,,,
,,,06/18/2020 07:31:31 AM,6037,65-74,Female,100,100,0,3,48,77,70,100,18,0,,,,,,,,,33,91,84,70,51,100,89,10,80,No,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/17/2020 11:00:45 PM,6037,55-64,Female,100,100,53,1,51,54,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06/17/2020 09:19:40 PM,6037,35-44,Female,100,90,3,3,1,84,70,85,30,2,84,93,92,97,48,0,,98,29,91,90,93,97,92,92,,97,Yes,Yes,Yes,No,,,,,,,,,,,
,,,06/17/2020 08:39:53 PM,6037,35-44,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06/17/2020 08:15:43 PM,6037,35-44,Female,100,100,1,,,100,100,100,70,50,100,100,100,100,,40,100,100,,100,100,100,100,100,100,40,100,Yes,No,No,Yes,No,,,,,,,,,,
,,,06/17/2020 02:48:52 PM,6037,35-44,Female,100,100,68,4,53,70,50,87,51,52,100,79,100,88,80,33,81,52,29,90,92,95,97,90,90,4,86,Yes,Yes,Yes,No,,,,,,,,,,,
,,,06/17/2020 09:54:02 AM,6037,35-44,Female,100,100,0,0,0,54,53,73,71,0,100,85,80,85,0,49,75,35,11,100,89,87,100,87,85,30,100,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,06/17/2020 09:22:58 AM,6037,55-64,Female,100,100,75,18,49,49,19,67,78,0,100,100,100,100,100,40,86,57,36,100,100,100,100,90,100,25,100,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,,06/17/2020 08:43:54 AM,6037,35-44,Female,100,54,47,16,50,31,13,41,36,8,50,64,23,42,68,12,15,51,7,49,42,51,19,28,78,20,80,Yes,Yes,No,No,Yes,,,,,,,,,,
,,,06/17/2020 07:25:58 AM,6037,35-44,Female,100,50,0,4,55,67,31,81,72,4,33,74,74,51,9,34,64,57,47,84,69,60,50,29,81,34,93,Yes,Yes,No,No,No,,,,,,,,,,
,,,06/17/2020 06:21:54 AM,6037,35-44,Female,100,100,0,8,61,71,32,80,60,21,68,71,74,71,40,30,52,50,70,91,91,87,83,81,83,30,86,Yes,Yes,No,No,Yes,,,,,,,,,,
,,,06/17/2020 04:26:39 AM,6037,45-54,Female,13,100,6,19,55,66,47,76,100,22,14,62,77,93,33,38,100,76,50,100,100,100,100,75,95,40,51,No,No,No,No,No,,,,,,,,,,
,,,06/16/2020 11:58:21 PM,6037,25-34,Male,100,100,0,8,0,4,6,80,80,2,49,100,40,70,8,40,24,26,26,83,87,52,31,39,36,31,87,Yes,No,No,Yes,No,,,,,,,,,,
,,,06/16/2020 11:24:47 PM,6037,45-54,Female,100,37,16,32,46,14,20,90,80,18,82,100,64,88,51,40,87,84,11,47,53,51,52,72,74,40,87,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 11:22:02 PM,6047,45-54,Female,100,82,0,22,19,34,34,72,87,0,47,96,80,89,15,50,33,71,48,74,80,61,29,69,67,53,72,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 10:48:12 PM,6011,35-44,Female,95,100,0,15,23,84,50,85,74,5,20,100,74,50,11,,0,46,20,91,93,72,50,64,77,29,73,Yes,No,No,No,No,,,,,,,,,,
,,,06/16/2020 10:23:04 PM,6037,25-34,Male,5,100,8,1,2,100,33,74,100,58,50,69,73,11,6,40,12,58,100,,,,,,,,,,,,,,,,,,,,,,,
,,,06/16/2020 10:03:21 PM,6037,35-44,Female,100,100,48,10,50,80,70,80,30,,70,95,70,90,0,30,50,65,15,95,90,70,80,65,60,30,95,No,Yes,No,No,No,,,,,,,,,,
,,,06/16/2020 09:07:05 PM,6037,65-74,Female,100,99,0,0,48,55,55,89,41,0,35,80,28,69,82,2,,52,87,89,87,65,69,85,89,,82,Yes,Yes,No,,,,,,,,,,,,
,,,06/16/2020 08:41:17 PM,6037,45-54,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06/16/2020 08:46:20 PM,6037,55-64,Female,100,100,51,17,52,90,9,100,57,45,100,100,100,100,70,40,100,100,40,100,84,100,100,100,85,20,100,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 08:39:48 PM,6037,45-54,Female,100,100,60,40,94,70,60,75,51,25,65,79,81,65,60,30,65,62,52,100,100,74,83,72,66,30,83,Yes,No,No,No,No,,,,,,,,,,
,,,06/16/2020 08:39:48 PM,6037,45-54,Male,100,70,50,33,48,35,35,70,80,50,50,100,90,70,90,45,49,34,15,25,75,40,67,71,100,35,70,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,,06/16/2020 08:52:41 PM,6037,25-34,Female,100,75,30,15,20,50,40,70,60,3,80,90,,60,10,40,70,63,40,83,82,70,70,72,75,36,81,Yes,No,No,Yes,Yes,,,,,,,,,,
