Respondent ID,Collector ID,Start Date,Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,10. Trust local council,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,27. Family Wellbeing,28. Access to Natural Environment,29. Work Travel Time,30. Basic Life Skills,31. Newlands Resident,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready,36. Vote General election 2020,37. Vote Local elections 2019,38. Satisfaction income,39. Confident in finding a new job,40. Personal mental health,41. Confident water safety,42. Optimal use of land,43. Location,44. Voted General elections 2023,45. Voted Local Elections 2022
,,,5/11/2019 21:40,6036,35-44,Male,100,100,100,0,50,35,65,100,50,70,100,100,70,65,100,35,30,100,10,100,100,100,100,100,100,15,100,No,,,,,,,,,,,,,,
,,,5/11/2019 21:38,6037,45-54,Female,100,75,0,5,50,50,75,90,50,0,100,80,50,50,60,37,50,35,20,75,75,50,50,10,75,10,90,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,5/11/2019 21:36,6037,35-44,Male,100,50,0,0,55,55,55,100,100,55,50,100,100,50,50,50,50,50,0,50,100,50,0,,50,50,100,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,5/11/2019 21:34,6037,35-44,Male,95,85,75,15,65,80,80,75,75,0,90,90,50,85,55,30,35,30,15,50,55,55,90,65,75,40,80,No,,,,,,,,,,,,,,
,,,5/11/2019 21:32,6037,35-44,Male,95,95,85,70,15,60,80,80,75,75,0,90,90,50,85,55,35,30,30,,,,,,,,,,,,,,,,,,,,,,,
,,,5/11/2019 21:30,6037,45-54,Male,100,100,100,0,55,100,100,100,75,65,100,100,75,75,75,45,75,65,40,75,85,80,80,80,85,30,70,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,5/11/2019 21:28,6037,45-54,Female,100,85,50,10,0,65,75,55,40,35,45,75,60,75,30,40,55,45,20,65,65,70,85,80,70,20,100,No,,,,,,,,,,,,,,
,,,5/11/2019 21:26,6037,35-44,Female,95,65,80,10,75,50,55,80,75,65,45,55,65,60,50,40,60,55,40,45,50,50,55,60,80,30,35,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,5/11/2019 21:24,6037,45-54,Female,100,100,50,0,55,55,55,60,50,0,80,100,100,100,0,36,36,100,100,100,100,100,100,100,100,15,100,Yes,Yes,No,No,Yes,,,,,,,,,,
,,,5/11/2019 21:22,6037,35-44,Male,100,100,50,0,50,60,60,100,100,50,90,100,90,90,50,45,50,50,35,90,90,70,70,100,100,40,80,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,5/11/2019 21:20,6037,45-54,Female,100,100,50,25,75,55,25,85,70,30,85,100,90,80,100,25,55,55,15,90,50,70,90,90,65,25,100,No,,,,,,,,,,,,,,
,,,5/11/2019 21:18,6037,35-44,Female,100,50,0,0,0,20,20,70,60,0,100,80,10,70,20,40,40,50,50,100,0,80,50,99,100,30,100,No,Yes,No,,,,,,,,,,,,
,,,5/11/2019 21:16,6037,35-44,Female,100,100,60,10,60,55,40,90,75,10,,65,85,80,90,30,75,80,30,90,90,50,70,65,95,20,95,No,,,,,,,,,,,,,,
,,,5/11/2019 21:14,6037,35-44,Female,100,100,100,0,50,100,80,100,100,0,100,55,100,60,65,0,,,18,55,55,100,100,100,100,,100,No,,,,,,,,,,,,,,
,,,5/11/2019 21:12,6037,35-44,Female,100,100,60,10,50,50,55,75,55,10,90,80,85,80,75,20,60,80,20,90,85,80,80,85,80,15,85,No,,,,,,,,,,,,,,
,,,5/11/2019 21:10,6037,45-54,Female,100,100,100,25,100,55,60,100,25,0,100,70,100,70,100,40,100,100,15,100,100,100,100,70,100,,80,Yes,Yes,Yes,No,,,,,,,,,,,
,,,5/11/2019 21:08,6037,35-44,Female,0,100,0,0,0,30,45,95,80,50,100,100,100,100,50,35,100,60,15,100,50,100,100,100,100,20,100,No,,,,,,,,,,,,,,
,,,5/11/2019 21:06,6037,35-44,Male,100,100,100,70,100,75,70,70,80,0,65,65,100,80,55,40,50,45,70,85,80,95,95,95,95,25,95,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,,5/11/2019 21:04,6037,35-44,Female,65,75,50,10,50,50,50,75,75,25,100,75,100,75,50,35,75,25,25,75,90,90,75,60,75,15,75,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,5/11/2019 20:54,6037,55-64,Female,100,100,50,5,70,75,75,90,90,10,90,85,50,75,20,50,80,35,15,90,90,70,70,70,95,30,95,Yes,No,No,Yes,,,,,,,,,,,
