date,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
11/05/2019,45-54,Male,100,100,100,0,0,0,100,100,100,0,100,100,100,95,50,50,100,100,50,100,100,100,93,100,100,50,100,,,,,,,,,,,,,,
11/05/2019,45-54,Male,100,50,1,1,95,100,100,100,50,0,100,100,50,100,25,30,94,94,25,94,95,75,75,94,75,0,50,,,,,,,,,,,,,,
11/05/2019,35-44,Female,100,100,60,20,60,60,60,90,80,0,100,60,50,60,50,,,,,100,100,50,100,60,50,,80,,,,,,,,,,,,,,
11/05/2019,45-54,Female,100,100,0,1,0,60,60,93,50,0,75,100,100,,,,,,,,,,,,100,28,100,,,,,,,,,,,,,,
11/05/2019,35-44,Female,50,50,100,0,100,100,100,100,100,50,95,95,50,100,100,50,50,50,60,50,50,50,91,100,50,50,50,,,,,,,,,,,,,,
11/05/2019,45-54,Female,100,100,0,90,75,75,75,90,100,0,80,65,100,94,75,40,99,99,60,100,100,90,95,99,100,17,100,,,,,,,,,,,,,,
11/03/2019,35-44,Male,100,60,30,0,75,70,60,90,70,0,100,90,90,90,10,50,60,50,50,80,80,80,90,90,95,5,90,0,,,,,,,,,,,,,
11/03/2019,35-44,Male,100,100,0,0,22,80,80,100,100,49,100,100,100,85,50,40,100,49,38,100,100,80,80,48,100,34,100,0,,,,,,,,,,,,,
11/03/2019,35-44,Male,100,100,50,37,50,92,80,100,91,50,32,100,80,87,74,43,52,50,38,80,75,49,70,55,54,44,100,1,0,,,,,,,,,,,,
11/03/2019,35-44,Do not wish to state,100,100,50,,75,15,16,100,50,50,100,99,100,50,6,50,100,49,9,100,100,100,100,75,100,40,100,0,,,,,,,,,,,,,
11/03/2019,45-54,Do not wish to state,100,100,49,7,85,15,10,7,88,0,49,95,90,90,50,0,,49,60,100,100,100,100,90,100,27,87,0,,,,0,,,,,,,,,
11/03/2019,55-64,Female,85,92,0,49,,,,,,,,,,,,,,,,,,,,,60,0,85,1,1,0,0,0,,,,,,,,,
11/03/2019,35-44,Female,95,95,50,7,50,70,95,95,66,3,84,89,95,95,50,40,50,95,25,100,100,95,91,96,95,50,65,,0,,,,,,,,,,,,
11/03/2019,45-54,Female,100,100,50,0,0,50,25,75,50,50,50,86,100,91,25,15,50,100,50,100,95,90,95,85,70,22,85,0,,,,,,,,,,,,,
11/03/2019,45-54,Female,100,100,50,0,50,50,50,80,26,0,100,100,100,100,50,35,50,50,50,90,90,89,95,82,88,50,95,0,,,,,,,,,,,,,
11/03/2019,45-54,Male,100,50,90,0,90,100,50,75,50,25,100,70,80,90,87,43,50,50,23,50,50,50,70,68,75,20,60,0,,,,,,,,,,,,,
